uid,education,department,grade,gender,headpic,politicalstatus,religion,sourcearea,residence,fatherage,fathereducation,motherage,mothereducation,brothersistercount,parentsmarriage,marriage,isrecommended,isrecommendedbycontest,isartstudent,nativeplace,fathersta,mothersta
7045,7,20,6,0,1,4,1,23,2,44,4,43,8,0,1,1,1,2,2,18,1,1
7046,7,21,6,0,1,4,1,16,1,42,3,42,4,1,1,1,2,2,2,16,1,1
7049,7,21,6,0,7,4,1,2,2,43,4,43,4,0,1,1,2,2,2,14,1,1
7050,7,29,6,1,7,4,2,6,2,47,7,45,7,1,1,1,2,2,2,6,1,1
7051,7,29,6,0,1,4,1,6,2,48,4,44,3,0,1,1,2,2,2,6,1,1
7052,7,29,6,0,7,4,1,7,2,44,7,45,4,0,1,1,2,2,2,7,1,1
7053,7,29,6,1,2,4,1,7,2,47,7,45,7,0,1,1,1,2,2,7,1,1
7054,7,29,6,0,7,3,1,2,2,44,9,45,9,0,1,1,1,2,2,4,1,1
7055,7,29,6,1,1,4,1,5,1,44,3,40,2,0,1,1,2,2,2,5,1,1
7056,7,29,6,1,1,4,1,5,2,50,8,46,7,0,1,1,2,2,2,5,1,1
7057,7,39,6,0,2,4,1,8,2,50,4,44,7,0,1,1,2,2,2,4,1,1
7058,7,39,6,0,7,4,1,31,2,49,6,47,6,0,1,1,2,2,2,31,1,1
7059,7,21,6,0,1,4,1,25,2,47,7,45,7,0,1,1,2,2,2,25,1,1
7060,7,22,6,0,1,4,1,15,1,45,4,43,3,2,2,1,2,2,2,15,2,1
7061,7,22,6,1,2,4,1,14,1,46,3,43,2,2,1,1,2,2,2,14,1,1
7062,7,29,6,0,2,4,1,25,2,51,7,47,7,0,1,1,2,2,2,29,1,1
7063,7,29,6,0,1,4,1,21,2,51,4,43,4,2,1,1,2,2,2,25,1,1
7064,7,29,6,0,1,4,1,14,2,46,8,45,8,0,1,1,2,2,2,14,1,1
7065,7,29,6,0,1,4,1,3,2,45,8,43,6,0,1,1,1,2,2,3,1,1
7066,7,39,6,0,1,4,1,23,2,43,4,42,4,3,1,1,2,2,2,23,1,1
7067,7,39,6,1,7,4,1,16,2,53,6,51,8,0,1,1,2,2,2,16,1,1
7068,7,39,6,0,9,4,1,2,2,45,7,43,7,0,1,1,2,2,2,2,1,1
7069,7,39,6,0,1,2,3,2,2,49,7,42,7,0,1,1,1,2,2,2,1,1
7070,7,39,6,0,9,4,1,2,2,49,8,44,8,0,1,1,2,2,2,30,1,1
7071,7,22,6,1,4,2,1,2,2,43,7,41,7,0,1,1,2,2,2,26,1,1
7073,7,23,6,0,7,4,1,26,2,54,4,55,4,1,1,1,2,1,2,26,1,1
7074,7,29,6,0,1,4,1,3,2,48,7,46,7,2,1,1,2,2,2,3,1,1
7075,7,29,6,0,7,4,1,3,2,47,4,47,4,0,1,1,2,2,2,3,1,1
7078,7,39,6,1,1,4,1,7,2,42,4,38,3,1,1,1,2,1,2,7,1,1
7079,7,39,6,1,1,4,1,14,2,46,7,44,4,0,1,1,2,2,2,14,1,1
7080,7,39,6,1,5,4,1,4,2,49,7,49,4,0,1,1,2,2,2,4,1,1
7082,7,17,6,1,10,2,1,12,2,50,4,47,7,0,1,1,2,2,2,12,1,1
7083,7,23,6,0,3,2,1,4,2,46,7,42,6,0,1,1,2,2,2,4,1,1
7084,7,23,6,0,1,4,1,23,2,45,6,45,7,1,1,1,1,2,2,23,1,1
7085,7,24,6,1,4,4,1,13,2,45,3,42,4,0,1,1,1,2,2,13,1,1
7086,7,30,6,1,3,4,1,13,2,46,6,44,4,0,2,1,2,2,2,13,1,1
7088,7,30,6,1,2,4,1,25,2,50,6,47,6,0,1,1,2,2,2,25,1,1
7089,7,30,6,0,1,4,1,21,2,45,7,44,6,1,1,1,2,2,2,21,1,2
7090,7,17,6,1,2,3,1,4,2,49,3,51,3,2,1,1,2,2,2,5,1,1
7091,7,17,6,1,2,4,1,32,2,51,7,50,7,0,1,1,2,2,2,31,1,1
7092,7,17,6,0,3,3,1,17,2,53,4,53,7,0,1,1,2,2,2,17,2,1
7093,7,17,6,1,1,2,1,10,2,48,3,47,2,1,1,1,2,2,2,10,1,1
7094,7,17,6,1,8,3,1,3,2,61,4,64,2,2,1,2,2,2,2,3,1,1
7095,7,17,6,1,8,3,1,16,2,51,3,51,2,2,1,1,2,2,2,16,1,1
7096,7,24,6,0,1,4,1,9,2,46,7,46,7,0,1,1,2,2,2,13,1,1
7097,7,24,6,0,1,4,1,9,2,48,3,42,3,2,1,1,2,2,2,9,1,1
7098,7,24,6,0,1,4,1,6,2,42,6,42,6,0,1,1,2,2,2,6,1,1
7099,7,24,6,1,8,4,1,2,2,52,9,49,8,0,1,1,2,2,2,3,1,1
7100,7,24,6,0,7,4,1,2,2,47,7,45,7,0,1,1,2,2,2,17,1,1
7101,7,30,6,1,1,4,1,14,1,45,4,42,3,2,1,1,2,2,2,14,1,1
7102,7,31,6,1,1,4,1,8,2,50,8,50,9,0,1,1,2,2,2,8,1,1
7103,7,31,6,0,1,4,4,20,2,42,4,42,6,0,1,1,2,2,2,20,1,1
7104,7,31,6,0,1,4,1,31,2,43,4,41,4,0,1,1,2,2,2,31,1,1
7105,7,31,6,0,1,4,1,6,1,43,3,42,3,1,1,1,1,2,2,6,1,1
7106,7,17,6,1,7,3,1,23,2,56,7,53,7,0,1,1,2,2,2,17,1,1
7107,7,1,6,1,3,4,1,2,2,44,6,40,4,0,1,1,2,2,2,12,1,1
7108,7,86,6,1,1,4,1,17,1,46,2,39,2,2,1,1,2,2,2,17,1,1
7109,7,86,6,1,1,4,1,3,1,45,2,44,1,0,1,1,2,2,2,3,1,1
