2,42,17,8,7,10,7,4,1,0,0,0,0,0,1,1,2,2,1,5,2,52,7,46,7,0,4,1,2,2,2,5,1,1
1,42,18,3,14,7,4,0,1,0,0,3,0,0,0,0,1,4,1,7,2,50,7,50,6,0,1,1,2,1,2,7,1,1
10,42,12,8,10,12,14,0,6,0,0,2,2,0,2,2,1,3,1,3,2,48,8,48,8,0,1,1,2,1,2,3,1,1
7,40,11,2,13,14,4,0,0,0,3,0,0,0,1,0,1,3,1,13,1,46,4,48,2,2,1,1,2,2,2,13,1,1
0,34,14,2,2,16,3,0,1,0,0,0,0,0,1,1,1,3,1,6,2,49,6,47,6,0,1,1,2,2,2,6,1,1
4,38,17,3,7,11,1,0,1,0,0,0,0,0,0,0,9,3,1,9,2,52,4,49,7,1,1,1,2,2,2,3,1,1
6,40,18,7,9,6,6,0,1,0,0,2,0,0,1,2,6,4,1,6,2,47,7,53,7,0,1,1,2,2,2,6,1,1
0,50,18,9,15,8,0,0,0,0,0,0,0,0,0,0,1,4,1,23,2,50,7,45,7,0,1,1,2,2,2,23,1,1
3,32,17,3,5,7,2,0,0,0,0,0,0,0,1,1,1,4,1,2,2,49,3,48,3,3,1,1,2,2,2,18,1,1
0,51,19,8,14,10,1,0,1,0,0,0,0,0,0,0,1,3,1,13,2,48,7,46,4,0,1,1,2,2,2,13,1,1
7,42,17,7,12,6,12,4,0,0,0,0,2,1,2,3,1,4,1,15,2,51,6,50,4,0,4,1,2,2,2,15,1,1
4,42,15,3,8,16,6,0,1,2,0,0,0,1,1,1,9,3,1,3,2,47,7,46,7,0,1,1,2,2,2,3,1,1
0,27,7,2,3,15,2,0,0,0,0,0,0,0,1,1,7,4,1,32,2,48,4,45,6,0,1,1,2,2,2,32,1,1
3,34,16,2,1,15,4,0,0,0,0,0,2,0,1,1,1,4,1,4,2,60,4,59,6,2,1,1,2,2,2,4,1,1
8,51,16,6,20,9,12,0,6,0,0,0,2,0,2,2,1,3,1,12,2,50,4,46,4,0,1,1,2,1,2,13,1,1
2,42,10,2,18,12,5,0,1,0,0,0,2,0,1,1,8,3,1,30,2,50,4,52,6,0,1,1,2,2,2,30,1,1
